status,experiment,description,input_file,backend,memory_optimized,deterministic_soa,gpu_enabled,gpu_simulation,gpu_classification,gpu_rasterization,gpu_device_id,backend_error,error_type,error_message,point_count,cloth_width,cloth_height,particle_count,iterations_configured,iterations_run,ground_count,non_ground_count,ground_ratio,cloth_resolution,rigidness,time_step,class_threshold,bSloopSmooth,read_las_ms,set_point_cloud_ms,bounding_box_ms,cloth_init_ms,rasterization_ms,simulation_ms,timestep_ms,verlet_ms,constraint_ms,maxdiff_ms,collision_ms,postprocess_ms,classification_ms,write_las_ms,total_filtering_ms,total_wall_ms
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,1.las,legacy,False,False,False,False,False,False,0,,,,90223460,11103,5810,64508430,500,500,14691455,75532005,0.16283408993625384,0.1,1,0.5,0.05,False,2414.1625499996735,640.0510809999105,176.512829,31315.765809,43348.622788,1355813.676906,1313208.943375,127328.611136,1110479.900572,75399.981564,42604.136488,0.0,3200.083035,0.0,1434313.926001,1456728.884123
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,10.las,legacy,False,False,False,False,False,False,0,,,,72950653,3381,2378,8040018,500,500,12498050,60452603,0.17132197569225321,0.1,1,0.5,0.05,False,1065.3256719997444,268.31147400116606,152.62378,2210.833878,5159.001873,145103.237671,139040.36767,15069.593581,114559.160383,9411.13601,6062.249633,0.0,1070.525024,0.0,153750.219732,161311.3376600013
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,2.las,legacy,False,False,False,False,False,False,0,,,,11842343,1122,1138,1276836,500,500,2324272,9518071,0.1962679175902944,0.1,1,0.5,0.05,False,164.6454489982716,40.32167300101719,23.35748,263.389864,686.66041,15489.882482,14424.710743,2418.540767,10326.714992,1679.013606,1064.604832,0.0,218.043988,0.0,16689.806086,17849.583459001224
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,3.las,legacy,False,False,False,False,False,False,0,,,,51246874,1686,2806,4730916,500,500,11448088,39798786,0.22339095258766417,0.1,1,0.5,0.05,False,786.180269000397,178.0103239998425,103.232037,1224.227084,1841.841232,63823.062383,60175.362984,8571.235568,45890.61965,5712.35043,3646.983455,0.0,672.195465,0.0,67695.384104,72893.0211400002
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,4.las,legacy,False,False,False,False,False,False,0,,,,86967669,5503,2791,15358873,500,500,23047795,63919874,0.26501566921380865,0.1,1,0.5,0.05,False,1259.3405059997167,306.6159919999336,175.630741,5500.326842,12275.402991,270186.818802,259829.206726,24472.404949,219880.489988,15475.849499,10356.990044,0.0,1759.79395,0.0,290007.033084,299604.31290400086
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,5.las,legacy,False,False,False,False,False,False,0,,,,76052862,3108,1863,5790204,500,500,19357277,56695585,0.25452397833496393,0.1,1,0.5,0.05,False,952.7837969999382,274.18699199915864,161.285224,1508.239078,3536.718533,95556.713221,90964.956603,9848.683052,74551.404445,6564.335893,4591.099958,0.0,1046.85394,0.0,101847.574451,109181.97956999938
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,6.las,legacy,False,False,False,False,False,False,0,,,,53035845,2786,2216,6173776,500,403,16410671,36625174,0.3094260306402208,0.1,1,0.5,0.05,False,622.0183570003428,180.114359000072,105.136213,1643.892349,3274.081644,82378.172961,78292.288173,9015.733325,63471.447601,5804.692718,4085.396445,0.0,770.98318,0.0,88212.181007,93558.56584700086
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,7.las,legacy,False,False,False,False,False,False,0,,,,38105380,3256,1860,6056160,500,414,10500851,27604529,0.27557397406875356,0.1,1,0.5,0.05,False,540.3304259998549,130.30125600016618,76.247512,1425.321536,3064.269999,86111.732246,82071.617386,8927.749575,67272.198989,5871.2587,4039.614257,0.0,561.645339,0.0,91277.747776,95518.41872700061
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,8.las,legacy,False,False,False,False,False,False,0,,,,11020696,1433,1341,1921653,500,392,3384653,7636043,0.3071178989058404,0.1,1,0.5,0.05,False,137.73815800050215,45.67883600066125,26.625788,423.265646,565.015497,19783.770058,18066.599063,2860.403031,13113.920815,2091.913909,1716.712308,0.0,184.188927,0.0,20995.788403,22201.025868000215
ok,00_legacy_baseline,All optimization switches off; legacy baseline.,9.las,legacy,False,False,False,False,False,False,0,,,,57338826,1875,2633,4936875,500,500,11898931,45439895,0.20751961332448626,0.1,1,0.5,0.05,False,1020.6425519991171,200.3747190010472,118.081942,1273.505981,2521.502708,72590.774975,67734.803174,9765.137356,51536.294239,6432.915617,4855.373822,0.0,741.871482,0.0,77278.334784,83250.10206500156
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,1.las,legacy,True,False,False,False,False,False,0,,,,90223460,11103,5810,64508430,500,500,14691455,75532005,0.16283408993625384,0.1,1,0.5,0.05,False,1392.9568919993471,309.3274820002989,182.996843,37097.409643,37437.807067,1359459.935086,1316896.466324,127495.818053,1114320.322528,75079.866452,42562.826712,0.0,2741.737701,0.0,1437343.987925,1450292.0956040015
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,10.las,legacy,True,False,False,False,False,False,0,,,,72950653,3381,2378,8040018,500,500,12498050,60452603,0.17132197569225321,0.1,1,0.5,0.05,False,1016.9785910002247,262.9395169988129,148.143656,2398.976491,4351.765195,143168.925658,137518.780918,14713.277234,113729.367137,9075.668778,5649.54328,0.0,993.327249,0.0,151114.555325,158059.46896700154
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,2.las,legacy,True,False,False,False,False,False,0,,,,11842343,1122,1138,1276836,500,500,2324272,9518071,0.1962679175902944,0.1,1,0.5,0.05,False,179.24439299895312,40.347503001612495,23.371987,315.850847,492.347857,15947.471846,14748.844149,2590.438604,10363.873456,1793.910128,1198.047045,0.0,199.172663,0.0,16986.628128,18091.681955998865
ok,01_memory_only,Stage 1 memory optimization only; still legacy backend.,3.las,legacy,True,False,False,False,False,False,0,,,,51246874,1686,2806,4730916,500,500,11448088,39798786,0.22339095258766417,0.1,1,0.5,0.05,False,788.3710829992197,176.0338000003685,119.611494,1470.686307,1366.819249,62477.682438,58991.185869,8454.112567,45039.322505,5497.266305,3485.898508,0.0,669.60134,0.0,66135.699166,70976.96331999941
